0,1
"[524342482.86686975, 38157517.13313034, 19589047.832731333]","[524342482.86686975, 38157517.13313034, 19589047.832731333]"
"[524342482.8668698, 38157517.13313028, -19589047.832731314]","[524342482.8668698, 38157517.13313028, -19589047.832731314]"
"[524342482.8668698, 38157517.13313028, -19589047.832731314]","[524342482.8668698, 38157517.13313028, -19589047.832731314]"
"[524342482.86686975, 38157517.13313034, 19589047.832731333]","[524342482.86686975, 38157517.13313034, 19589047.832731333]"
