0,1,2
"[37175012602.92389, 30175012602.923878, 28230549487.481106]","[30175012602.923878, 37175012602.92387, 28230549487.481087]","[28230549487.481106, 28230549487.48109, 30851957654.17577]"
"[37175012602.92389, 30175012602.923878, -28230549487.481106]","[30175012602.923878, 37175012602.92387, -28230549487.481087]","[-28230549487.481106, -28230549487.48109, 30851957654.17577]"
"[37175012602.92389, 30175012602.923878, -28230549487.481106]","[30175012602.923878, 37175012602.92387, -28230549487.481087]","[-28230549487.481106, -28230549487.48109, 30851957654.17577]"
"[37175012602.92389, 30175012602.923878, 28230549487.481106]","[30175012602.923878, 37175012602.92387, 28230549487.481087]","[28230549487.481106, 28230549487.48109, 30851957654.17577]"
