0,1
"[[66138832.5223, 20588171.5558, 0.0], [20588171.5558, 66138832.5223, 0.0], [0.0, 0.0, 22775330.4833]]","[[0.0, -0.0, 0.0], [-0.0, 0.0, -0.0], [0.0, -0.0, -0.0]]"
"[[0.0, -0.0, 0.0], [-0.0, 0.0, -0.0], [0.0, -0.0, -0.0]]","[[12.7427, 1.7157, 1.2153], [1.7157, 4.6404, 1.2153], [1.2153, 1.2153, 1.9781]]"
